,altitude,camera,date_taken,lat,long,photo_id,photo_url,title,user_id
606,266.3,Canon EOS 7D Mark II,2017:06:14 07:46:17,31.78758888888889,-24.43836388888889,35921329704,http://farm5.static.flickr.com/4428/35921329704_db868a517c.jpg,Equus quagga,112181416@N08
607,184.9,Canon EOS 7D Mark II,2017:06:13 06:43:29,31.84716111111111,-25.07378888888889,36616540681,http://farm5.static.flickr.com/4395/36616540681_33d913c027.jpg,Eurocephalus anguitimens,112181416@N08
608,246.7,Canon EOS 7D Mark II,2017:06:14 08:04:06,31.78333611111111,-24.419197222222223,36755746845,http://farm5.static.flickr.com/4381/36755746845_9e25374024.jpg,Giraffa camelopardalis,112181416@N08
609,175.2,Canon EOS 7D Mark II,2017:06:13 06:58:27,31.868605555555558,-25.08585833333333,36755745905,http://farm5.static.flickr.com/4437/36755745905_bdb20e6505.jpg,Grey Go-Away bird,112181416@N08
610,182.8,Canon EOS 7D Mark II,2017:06:13 09:32:44,31.916380555555556,-25.119005555555557,36755745115,http://farm5.static.flickr.com/4342/36755745115_c1b11cbcb8.jpg,Grey Go-Away bird,112181416@N08
611,262.5,Canon EOS 7D Mark II,2017:06:13 04:11:17,31.59383888888889,-24.99371388888889,36755741585,http://farm5.static.flickr.com/4359/36755741585_99a9298931.jpg,Lamprotornis nitens,112181416@N08
612,182.7,Canon EOS 7D Mark II,2017:06:13 08:44:02,31.915444444444443,-25.118183333333334,35921322054,http://farm5.static.flickr.com/4383/35921322054_a2bae5d216.jpg,Turdoides jardineii  Zaragateiro-de-jardine - Lower Sabie,112181416@N08
613,178.0,Canon EOS 7D Mark II,2017:06:13 08:38:22,31.915380555555554,-25.118069444444444,36755739915,http://farm5.static.flickr.com/4354/36755739915_1e3d545b5a.jpg,Turdoides jardineii  Zaragateiro-de-jardine 1,112181416@N08
614,240.7,Canon EOS 7D Mark II,2017:06:14 04:58:23,31.858994444444445,-24.78625277777778,35921320754,http://farm5.static.flickr.com/4369/35921320754_403fa0f17c.jpg,Lamprotornis nitens,112181416@N08
615,263.7,Canon EOS 7D Mark II,2017:06:13 04:11:33,31.59386111111111,-24.993705555555557,36359241640,http://farm5.static.flickr.com/4415/36359241640_7918696bba.jpg,Lamprotornis nitens,112181416@N08
